Customers_Customer_CompanyName,Customers_Customer_ContactName,Customers_Customer_ContactTitle,Customers_Customer_Fax,Customers_Customer_Phone,Customers_Customer__CustomerID,Orders_Order_CustomerID,Orders_Order_EmployeeID,Orders_Order_OrderDate,Orders_Order_RequiredDate,Customers_Customer_FullAddress_Address,Customers_Customer_FullAddress_City,Customers_Customer_FullAddress_Country,Customers_Customer_FullAddress_PostalCode,Customers_Customer_FullAddress_Region,Orders_Order_ShipInfo_Freight,Orders_Order_ShipInfo_ShipAddress,Orders_Order_ShipInfo_ShipCity,Orders_Order_ShipInfo_ShipCountry,Orders_Order_ShipInfo_ShipName,Orders_Order_ShipInfo_ShipPostalCode,Orders_Order_ShipInfo_ShipRegion,Orders_Order_ShipInfo_ShipVia,Orders_Order_ShipInfo__ShippedDate
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,6,1997-05-06T00:00:00,1997-05-20T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,3.35,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1997-05-09T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,8,1997-07-04T00:00:00,1997-08-01T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,4.42,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1997-07-14T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,1,1997-07-31T00:00:00,1997-08-28T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,116.53,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1997-08-05T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,4,1997-07-31T00:00:00,1997-08-28T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,18.53,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1997-08-04T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,6,1997-09-04T00:00:00,1997-10-02T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,57.15,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,1,1997-09-10T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,3,1997-09-25T00:00:00,1997-10-23T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,76.13,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,3,1997-09-30T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,4,1998-01-06T00:00:00,1998-02-03T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,719.78,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1998-02-04T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,3,1998-03-09T00:00:00,1998-04-06T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,33.68,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1998-03-18T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,3,1998-04-07T00:00:00,1998-05-05T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,25.19,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,2,1998-04-15T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,4,1998-04-22T00:00:00,1998-05-20T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,18.84,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,3,""
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,GREAL,4,1998-04-30T00:00:00,1998-06-11T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,14.01,2732 Baker Blvd.,Eugene,USA,Great Lakes Food Market,97403,OR,3,""
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,HUNGC,3,1996-12-06T00:00:00,1997-01-03T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,20.12,City Center Plaza 516 Main St.,Elgin,USA,Hungry Coyote Import Store,97827,OR,2,1996-12-09T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,HUNGC,1,1996-12-25T00:00:00,1997-01-22T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,30.34,City Center Plaza 516 Main St.,Elgin,USA,Hungry Coyote Import Store,97827,OR,3,1997-01-03T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,HUNGC,3,1997-01-15T00:00:00,1997-02-12T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,0.2,City Center Plaza 516 Main St.,Elgin,USA,Hungry Coyote Import Store,97827,OR,1,1997-01-24T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,HUNGC,4,1997-07-16T00:00:00,1997-08-13T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,45.13,City Center Plaza 516 Main St.,Elgin,USA,Hungry Coyote Import Store,97827,OR,1,1997-07-21T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,HUNGC,8,1997-09-08T00:00:00,1997-10-06T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,111.29,City Center Plaza 516 Main St.,Elgin,USA,Hungry Coyote Import Store,97827,OR,1,1997-10-15T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,LAZYK,1,1997-03-21T00:00:00,1997-04-18T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,7.48,12 Orchestra Terrace,Walla Walla,USA,Lazy K Kountry Store,99362,WA,3,1997-04-10T00:00:00
Great Lakes Food Market,Howard Snyder,Marketing Manager,"",(503) 555-7555,GREAL,LAZYK,8,1997-05-22T00:00:00,1997-06-19T00:00:00,2732 Baker Blvd.,Eugene,USA,97403,OR,11.92,12 Orchestra Terrace,Walla Walla,USA,Lazy K Kountry Store,99362,WA,2,1997-06-26T00:00:00
